mode,ranks,S,d_h,H_local,B_M,B_N,tile_count,d_model,message_bytes,total_reduced_bytes,n,wall_ms_mean,wall_ms_min,wall_ms_max,wall_ms_stddev,cuda_event_ms_mean,cuda_event_ms_min,cuda_event_ms_max,cuda_event_ms_stddev,exposed_ms_mean,exposed_ms_min,exposed_ms_max,exposed_ms_stddev
1,4,4096,64,4,8,128,512,1024,32768,16777216,3,1102.011431,1059.792752,1164.419323,55.157802,1101.924683,1059.689453,1164.358643,55.180625,0.086748,0.060680,0.103299,0.022848
1,4,4096,64,4,16,128,256,1024,65536,16777216,3,615.475813,607.602367,620.194018,6.863241,615.430481,607.582214,620.097534,6.837280,0.045332,0.019360,0.096484,0.044300
1,4,4096,64,4,32,128,128,1024,131072,16777216,3,465.377493,463.451495,468.963644,3.108541,465.328125,463.383545,468.904968,3.101571,0.049368,0.021478,0.067950,0.024595
2,4,4096,64,4,8,128,512,1024,32768,16777216,3,1047.954610,1043.299922,1056.403361,7.329475,1047.929159,1043.274780,1056.372681,7.325091,0.025452,0.020533,0.030680,0.005081
2,4,4096,64,4,16,128,256,1024,65536,16777216,3,608.230519,598.553893,625.266717,14.799196,608.203430,598.528015,625.240051,14.799450,0.027089,0.025878,0.028724,0.001469
2,4,4096,64,4,32,128,128,1024,131072,16777216,3,491.244931,488.352482,493.773585,2.728800,491.220306,488.328186,493.752319,2.729938,0.024624,0.021266,0.028311,0.003534
3,4,4096,64,4,8,128,512,1024,32768,16777216,3,1825.743380,1814.829279,1839.683175,12.700203,1824.820882,1812.229126,1839.531982,13.774259,0.922498,0.016149,2.600153,1.454460
3,4,4096,64,4,16,128,256,1024,65536,16777216,3,997.966507,996.684175,999.384713,1.355386,997.469523,996.415466,999.367676,1.647197,0.496984,0.017037,1.415168,0.795444
3,4,4096,64,4,32,128,128,1024,131072,16777216,3,629.793625,615.616711,644.638000,14.522153,629.457580,615.578613,644.326416,14.399442,0.336045,0.038098,0.658452,0.310900
