source_log,mode,ranks,S,d_h,H_local,B_M,B_N,repeat,validate,tile_count,d_model,message_bytes,total_reduced_bytes,wall_ms,cuda_event_ms,exposed_ms,validation_status,max_abs_err,max_rel_err
results/results_mode2.log,2,4,8192,64,4,32,128,2,0,256,1024,131072,33554432,1670.757535,1670.721191,0.036344,,,
results/results_mode2.log,2,4,8192,64,4,32,128,3,0,256,1024,131072,33554432,1672.233019,1672.223022,0.009997,,,
results/results_mode3.log,3,1,2048,64,4,32,128,1,0,64,256,32768,2097152,132.237861,132.224640,0.013221,,,
results/results_mode3.log,3,1,2048,64,4,32,128,2,0,64,256,32768,2097152,132.428922,132.412674,0.016248,,,
results/results_mode3.log,3,1,2048,64,4,32,128,3,0,64,256,32768,2097152,132.547873,132.527908,0.019965,,,
results/results_mode3.log,3,1,4096,64,4,32,128,1,0,128,256,32768,4194304,413.309309,413.289307,0.020002,,,
results/results_mode3.log,3,1,4096,64,4,32,128,2,0,128,256,32768,4194304,412.924895,412.905945,0.018950,,,
results/results_mode3.log,3,1,4096,64,4,32,128,3,0,128,256,32768,4194304,412.601359,412.585724,0.015635,,,
results/results_mode3.log,3,1,8192,64,4,32,128,1,0,256,256,32768,8388608,1535.876960,1535.871094,0.005866,,,
results/results_mode3.log,3,1,8192,64,4,32,128,2,0,256,256,32768,8388608,1535.422712,1535.414673,0.008039,,,
results/results_mode3.log,3,1,8192,64,4,32,128,3,0,256,256,32768,8388608,1534.551207,1534.542725,0.008482,,,
results/results_mode3.log,3,2,2048,64,4,32,128,1,0,64,512,65536,4194304,216.635105,216.614685,0.020420,,,
results/results_mode3.log,3,2,2048,64,4,32,128,2,0,64,512,65536,4194304,222.946613,222.926468,0.020145,,,
results/results_mode3.log,3,2,2048,64,4,32,128,3,0,64,512,65536,4194304,231.043896,230.928772,0.115124,,,
results/results_mode3.log,3,2,4096,64,4,32,128,1,0,128,512,65536,8388608,513.168560,513.149597,0.018963,,,
results/results_mode3.log,3,2,4096,64,4,32,128,2,0,128,512,65536,8388608,481.917000,481.891998,0.025002,,,
results/results_mode3.log,3,2,4096,64,4,32,128,3,0,128,512,65536,8388608,506.060901,506.037598,0.023303,,,
results/results_mode3.log,3,2,8192,64,4,32,128,1,0,256,512,65536,16777216,1694.933359,1694.918457,0.014902,,,
results/results_mode3.log,3,2,8192,64,4,32,128,2,0,256,512,65536,16777216,1692.775315,1692.755615,0.019700,,,
results/results_mode3.log,3,2,8192,64,4,32,128,3,0,256,512,65536,16777216,1698.612006,1698.597534,0.014472,,,
results/results_mode3.log,3,4,2048,64,4,32,128,1,0,64,1024,131072,8388608,250.407750,249.151169,1.256581,,,
results/results_mode3.log,3,4,2048,64,4,32,128,2,0,64,1024,131072,8388608,249.373078,249.352478,0.020600,,,
results/results_mode3.log,3,4,2048,64,4,32,128,3,0,64,1024,131072,8388608,249.040916,249.020157,0.020759,,,
results/results_mode3.log,3,4,4096,64,4,32,128,1,0,128,1024,131072,16777216,646.430145,645.788086,0.642059,,,
results/results_mode3.log,3,4,4096,64,4,32,128,2,0,128,1024,131072,16777216,651.436539,651.418518,0.018021,,,
results/results_mode3.log,3,4,4096,64,4,32,128,3,0,128,1024,131072,16777216,691.550613,691.456909,0.093704,,,
results/results_mode3.log,3,4,8192,64,4,32,128,1,0,256,1024,131072,33554432,2061.964166,2061.049561,0.914605,,,
results/results_mode3.log,3,4,8192,64,4,32,128,2,0,256,1024,131072,33554432,2061.849655,2061.839600,0.010055,,,
results/results_mode3.log,3,4,8192,64,4,32,128,3,0,256,1024,131072,33554432,2065.089070,2065.078613,0.010457,,,
